C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
0.4905065891,0.1737728933,0.3809905634,0.5598555371,0.0207039784,0.9494106202,0.8276147385,0.2235964977,0.7304191735,0.2251799778
-0.0276234245,0.1803051647,0.0545946463,0.409565019,0.62789623,0.9411426202,0.263131411,0.9693715312,0.9490600055,0.6041432117
-0.128376035,0.7089592661,0.8037471614,0.6105019898,0.4501214621,0.4089046778,0.4928703253,0.0902136407,0.6340188734,0.8365667973
0.9428174402,0.1030725634,0.0935578853,0.2296922138,0.0271044665,0.438991117,0.3867850233,0.8083561068,0.3110394993,0.771976668
-0.0453525737,0.8402949362,0.5030128412,0.7366139574,0.0246000045,0.3351901493,0.7247931023,0.7682954471,0.2800751575,0.4573665038
0.4599506743,0.7523746048,0.5399111565,0.3819458429,0.0395296983,0.5594879479,0.4088559236,0.0457712763,0.2306893781,0.9876060688
0.1580281534,0.9916930831,0.9268052765,0.0202763347,0.6802861901,0.3036085661,0.6877264711,0.3941881594,0.8583851581,0.3976542021
0.2466116211,0.7519164152,0.0141365376,0.6134837555,0.7793042015,0.7278055041,0.8310180477,0.4641036461,0.5599844631,0.5377110592
0.5361975366,0.543950118,0.8194098902,0.3806741889,0.1088873932,0.5986715302,0.3348186257,0.0408854091,0.0719697653,0.4733547717
0.1282727379,0.8286499974,0.4502993045,0.0403437383,0.2023870359,0.2609968137,0.0337865901,0.0735774721,0.5110948952,0.8473035224
0.0178762935,0.7310136433,0.3759270958,0.1691569492,0.2538289467,0.4207329417,0.1633202633,0.9393414157,0.228833202,0.9573171682
0.8079250411,0.0529380146,0.5330543541,0.7259323951,0.0041246849,0.3112199755,0.7293071381,0.9410052831,0.6312191809,0.4033418185
0.026237582,0.6586940971,0.541566304,0.7461915147,0.3693661642,0.6008797153,0.215813437,0.4416753252,0.9044327518,0.6189794665
0.5643505706,0.8587918353,0.477976311,0.2123549806,0.5102577497,0.3057619395,0.6634921906,0.1274904801,0.1890013352,0.2413012999
0.3204332855,0.4401708801,0.6133632116,0.3486448841,0.08316798,0.1292442668,0.1861796268,0.7933456531,0.694509653,0.2606571952
-0.1762870779,0.2912655979,0.8642462891,0.498377316,0.0384071779,0.7491168099,0.7928395721,6.04516123776655E-005,0.341641429,0.9017281777
0.6350492373,0.4213020908,0.2153925794,0.7000512158,0.255050282,0.9028969848,0.6464993519,0.6492515299,0.2348109027,0.4786972806
0.085106713,0.0483771798,0.42621029,0.2897998856,0.7172237109,0.3000163616,0.5868690741,0.077073128,0.0354770062,0.122130432
0.2427789959,0.0385280312,0.0109104176,0.5679717501,0.9767104976,0.0647525453,0.6402959842,0.8146351158,0.1387998099,0.316418254
0.7288568936,0.3546416416,0.855622686,0.9713341919,0.2930665689,0.4936806519,0.9819953611,0.4374065287,0.314968425,0.1084051314
